#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
8,0.123115,3.5051,5.2179,-2.7161,12.4975,14.0604,11.3524
9,0.146947,3.5055,5.1461,-2.5655,12.128,13.6892,10.9831
10,0.19081,3.5116,5.0745,-2.3567,11.5903,13.115,10.4541
11,0.231281,3.5177,5.0295,-2.2032,11.1875,12.6777,10.0601
12,0.263785,3.5223,4.9993,-2.0975,10.9093,12.3766,9.7878
13,0.289384,3.5257,4.9775,-2.0218,10.7107,12.1634,9.593
14,0.302356,3.5274,4.9647,-1.9833,10.6103,12.0568,9.4943
15,0.309426,3.5282,4.9564,-1.9614,10.554,11.9976,9.4387
16,0.31421,3.5288,4.9501,-1.9461,10.5151,11.9571,9.4003
17,0.317648,3.5292,4.9451,-1.9348,10.4862,11.9272,9.3716
18,0.320231,3.5295,4.9409,-1.9259,10.4638,11.9042,9.3493
19,0.322429,3.5298,4.9371,-1.9181,10.4442,11.884,9.3299
20,0.324726,3.5301,4.9331,-1.9099,10.4234,11.8626,9.3092
21,0.326556,3.5303,4.9292,-1.9029,10.406,11.8452,9.2919
22,0.329099,3.5306,4.926,-1.8951,10.3864,11.8249,9.2724
23,0.330761,3.5307,4.9246,-1.8905,10.3747,11.813,9.2608
24,0.336143,3.5312,4.9211,-1.8775,10.3407,11.777,9.2274
25,0.458718,3.5525,4.8245,-1.5614,9.5038,10.8982,8.4036
26,0.477208,3.5569,4.8064,-1.5087,9.3652,10.7505,8.268
27,0.492899,3.5609,4.791,-1.4632,9.2466,10.6188,8.1534
28,0.506505,3.5647,4.7783,-1.4234,9.1414,10.4981,8.0528
29,0.517397,3.5681,4.7683,-1.391,9.0542,10.3951,7.9703
30,0.527235,3.5712,4.7594,-1.3612,8.9727,10.2967,7.8941
31,0.53807,3.5748,4.75,-1.3285,8.8806,10.1824,7.809
32,0.552069,3.5796,4.738,-1.2864,8.7567,10.0252,7.6962
33,0.569663,3.5859,4.7232,-1.2325,8.5834,9.7986,7.5415
34,0.58921,3.5934,4.7074,-1.172,8.3739,9.5182,7.3584
35,0.610541,3.6022,4.6922,-1.1064,8.1305,9.1882,7.1505
36,0.62945,3.6104,4.6794,-1.0478,7.9039,8.881,6.9604
37,0.647091,3.6184,4.6679,-0.9916,7.6763,8.5693,6.7725
38,0.67469,3.6315,4.6536,-0.907,7.3455,8.1356,6.4998
39,0.714378,3.6509,4.6366,-0.7876,6.9037,7.58,6.1322
40,0.802378,3.6917,4.6008,-0.5383,6.0911,6.6104,5.4367
41,0.832334,3.7043,4.5871,-0.4582,5.8506,6.3306,5.2276
42,0.84711,3.7101,4.5796,-0.4198,5.7397,6.2033,5.1304
43,0.860206,3.7152,4.5725,-0.3855,5.6418,6.0914,5.0446
44,0.872145,3.7199,4.5656,-0.3541,5.553,5.9901,4.9664
45,0.883415,3.7242,4.5588,-0.3244,5.47,5.8959,4.893
46,0.894552,3.7283,4.5517,-0.2954,5.3894,5.8049,4.8217
47,0.9057,3.7323,4.5442,-0.2666,5.3103,5.7159,4.7515
48,0.91679,3.7362,4.5365,-0.2382,5.2329,5.6289,4.6826
49,0.927826,3.7399,4.5285,-0.21,5.1569,5.544,4.6148
50,0.938782,3.7435,4.5201,-0.1822,5.0825,5.4611,4.5484
51,0.949632,3.7469,4.5115,-0.1548,5.0096,5.3801,4.4831
52,0.956448,3.749,4.5058,-0.1378,4.9643,5.3299,4.4424
53,0.963154,3.751,4.5001,-0.121,4.9199,5.2809,4.4024
54,0.969778,3.753,4.4943,-0.1044,4.8764,5.2329,4.3631
55,0.976322,3.7548,4.4885,-0.0881,4.8336,5.1858,4.3246
56,0.982796,3.7567,4.4826,-0.0719,4.7915,5.1396,4.2865
57,0.989192,3.7585,4.4765,-0.0561,4.7502,5.0942,4.249
58,0.995523,3.7602,4.4705,-0.0404,4.7095,5.0496,4.212
59,1.001757,3.7618,4.4645,-0.025,4.6694,5.0058,4.1756
60,1.007864,3.7635,4.4583,-0.0099,4.6304,4.9631,4.1402
61,1.013745,3.765,4.4523,0.0047,4.5926,4.9222,4.1058
62,1.018817,3.7662,4.4471,0.0173,4.5602,4.8868,4.0763
63,1.024207,3.7676,4.4414,0.0307,4.5257,4.8493,4.0447
64,1.029895,3.769,4.4353,0.0447,4.4896,4.8103,4.0117
65,1.035818,3.7703,4.4288,0.0591,4.4527,4.7703,3.9778
66,1.04093,3.7715,4.4232,0.0717,4.4206,4.7355,3.9483
67,1.046295,3.7727,4.4171,0.0849,4.3869,4.6991,3.9174
68,1.052029,3.774,4.4106,0.0989,4.3513,4.6609,3.8847
69,1.055418,3.7749,4.4067,0.1079,4.3281,4.6356,3.8634
70,1.060429,3.776,4.4006,0.1202,4.2967,4.6021,3.8344
71,1.065192,3.777,4.3948,0.1319,4.267,4.5702,3.8069
72,1.069666,3.7779,4.3894,0.143,4.2388,4.5399,3.7807
73,1.073009,3.7788,4.3853,0.1519,4.2163,4.5156,3.76
74,1.077261,3.7797,4.3802,0.1624,4.1894,4.4868,3.7353
75,1.081529,3.7806,4.3748,0.173,4.1627,4.4582,3.7105
76,1.085791,3.7815,4.3698,0.1835,4.1361,4.4297,3.6859
77,1.089768,3.7823,4.365,0.1932,4.1112,4.403,3.6629
78,1.093497,3.7832,4.3605,0.2025,4.0878,4.3778,3.6413
79,1.097049,3.784,4.3563,0.2114,4.0652,4.3535,3.6206
80,1.100468,3.7848,4.3521,0.2201,4.0433,4.3302,3.6004
81,1.103631,3.7855,4.3483,0.2281,4.0228,4.308,3.5815
82,1.105699,3.786,4.3457,0.2336,4.0092,4.2935,3.569
83,1.107668,3.7864,4.3432,0.2387,3.9962,4.2794,3.5571
84,1.10957,3.787,4.3408,0.2437,3.9834,4.2656,3.5455
85,1.111453,3.7874,4.3385,0.2487,3.9708,4.2521,3.5339
86,1.113357,3.788,4.3362,0.2537,3.9584,4.2385,3.5223
87,1.115345,3.7884,4.3338,0.2588,3.9454,4.2246,3.5105
88,1.117509,3.7889,4.3314,0.2642,3.9318,4.2101,3.4981
89,1.119991,3.7894,4.3287,0.27,3.9171,4.1942,3.4846
90,1.123105,3.7901,4.3254,0.2769,3.8998,4.1755,3.4686
91,1.128079,3.7908,4.3203,0.287,3.8745,4.1488,3.4449
92,1.187107,3.7934,4.2401,0.399,3.594,3.8629,3.1706
93,1.19182,3.7934,4.2334,0.4073,3.5731,3.8421,3.1497
94,1.199049,3.7932,4.2224,0.42,3.5414,3.8108,3.1176
95,1.212095,3.7924,4.2008,0.4431,3.4838,3.7546,3.0584
96,1.227271,3.7916,4.1757,0.47,3.4171,3.6896,2.9897
97,1.237207,3.7913,4.1611,0.4871,3.3741,3.6471,2.9465
98,1.283607,3.7912,4.0926,0.5714,3.1636,3.4369,2.7357
99,1.290953,3.7908,4.081,0.5838,3.1326,3.4068,2.7038
100,1.298207,3.7902,4.0687,0.5964,3.1014,3.3767,2.6714
101,1.306684,3.7894,4.0535,0.6114,3.0643,3.3412,2.6326
102,1.315555,3.7883,4.0362,0.6275,3.0243,3.3035,2.5903
103,1.323479,3.7873,4.0198,0.6425,2.9872,3.2683,2.5509
104,1.329832,3.7868,4.007,0.6551,2.9561,3.2385,2.5185
105,1.334234,3.7865,3.9979,0.6645,2.9326,3.2155,2.4945
106,1.337335,3.7864,3.9913,0.6719,2.9142,3.1973,2.476
107,1.339822,3.7865,3.9858,0.6783,2.8982,3.1812,2.46
108,1.341784,3.7866,3.9812,0.6839,2.8842,3.167,2.4462
109,1.343374,3.7868,3.9775,0.6889,2.8716,3.154,2.4341
110,1.344762,3.787,3.9741,0.6936,2.8599,3.1419,2.4229
111,1.345952,3.7873,3.9712,0.6979,2.849,3.1304,2.4125
112,1.346889,3.7874,3.9688,0.7016,2.8395,3.1204,2.4038
113,1.34776,3.7879,3.9665,0.7055,2.8297,3.1099,2.3947
114,1.34858,3.7882,3.9643,0.7095,2.8197,3.0991,2.3855
115,1.34937,3.7886,3.962,0.7136,2.8094,3.088,2.376
116,1.350092,3.789,3.9598,0.7178,2.7986,3.0762,2.3663
117,1.350787,3.7895,3.9575,0.7223,2.7871,3.0637,2.3559
118,1.351431,3.7901,3.9551,0.7271,2.7751,3.0505,2.3451
119,1.352008,3.7907,3.9525,0.7324,2.7615,3.0358,2.3331
120,1.352541,3.7914,3.9499,0.7381,2.747,3.0196,2.3203
121,1.353028,3.7922,3.9472,0.7441,2.7318,3.0027,2.3068
122,1.35345,3.793,3.9442,0.7506,2.7156,2.9849,2.2926
