,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
1780,64.05691179600716,16.796588846576263,20.590147840419927,109.61404156684677,-21.737954101547505,15.543332,3.468278
1827,63.89569436950035,16.762287744082474,20.881553135526133,111.02996428477658,-23.49033945351936,13.9761,2.7397203
2576,64.41279837486526,16.94772397450725,21.440406410424067,112.78276806267964,-23.819577109751293,8.107573,0.96019936
2610,64.3849411231356,16.949608497570036,23.0646447155953,122.36479154155062,-27.812591542335863,16.566332,3.780383
3676,64.0065961553584,16.98296420388861,21.62212179497498,117.38951560114694,-29.94066189010253,13.75481,2.825718
5907,64.53807309193438,17.416130138912035,21.944709122364497,113.6904264767072,-27.89789617687469,14.702765,3.0002718
7085,64.78389360834417,17.524630513050628,21.390700254048006,113.12486444102618,-27.85180674507326,8.279239,0.8785043
7097,64.77453821008584,17.57303077505859,18.461937432588705,95.7729988884318,-24.046104783078384,15.879586,3.4458542
13466,65.66541825180812,18.269179460705352,24.013842432491053,123.99441660194366,-34.00012525988708,12.078186,2.2556143
16204,65.38496942725972,18.41744025238449,20.885733460424145,110.44900990966732,-31.91854784127326,6.7013855,0.582345
18696,65.98658444862387,18.63879538133933,17.00977577711063,88.85242072869505,-26.587395691147808,15.451751,3.0456114
20643,67.09797616794343,14.740888781191003,18.031611641848457,96.5526715452556,-15.77217172551526,5.8225656,0.456995
25732,65.5218007130912,13.9797340815185,18.164522869714805,91.37135559917202,-16.277065747335534,20.22393,3.0144482
25797,68.40865079618047,16.762386244728727,20.61556113871976,97.99880517969228,-25.49159863900907,9.15698,1.0530233
26163,65.51518023603637,14.077103275227197,22.026938316127616,113.77447283192949,-21.32101663168436,5.6442456,0.42680836
28015,65.39545704764056,14.409703887220196,20.67979693450329,104.19978440400168,-19.148581742579594,6.4990244,0.54883385
28906,68.48680175601453,16.86893699017762,21.48256636168679,102.05202469721355,-28.39885970028468,13.742438,2.7609415
29170,65.84974595899124,14.427849817287893,21.16004577091608,110.94351874539676,-21.13552582176292,13.543492,2.9259453
34547,65.39669553192954,14.695153868168015,20.326692831232425,106.49657261059144,-19.73171837672036,14.278773,2.862668
35972,65.23411332349541,14.859496095395018,20.60062139966309,110.0820107151224,-21.127957778586957,15.127425,3.1471786
38533,65.88522390284595,14.67039844789645,21.47606756520902,109.24196419712032,-17.947133876529186,8.887173,1.0133181
38838,66.05246947657736,14.75815758342354,20.85619771465096,110.22626713190958,-12.401878513086965,7.4817166,0.7890749
40277,65.96041133865042,14.921402707495972,25.659887528901287,113.94731001144052,-28.725636874633704,12.134732,2.6072578
41719,66.46067898955343,15.002464972130216,21.39808326312012,107.05284803871862,-22.616431639961323,14.749543,3.0265055
42526,66.52007676867467,15.041285019426097,20.8390589991997,101.60630054880184,-22.71326170096517,11.470464,1.9116602
47774,65.68458418346766,15.056034383369544,21.18773295114552,114.26697815985808,-13.83439728546639,7.1384563,0.75829554
47775,65.68440170253284,15.056327740576604,21.026355477142264,100.34236674943136,-29.289519804074057,8.366908,0.71623135
